ingredient,fdc_id
almond,2346393
amaretto,2710623
anchovy,2706232
anise,171316
apple,2709215
apple juice,2709320
apricot,2709221
artichoke,169205
arugula,169387
asian pear,168177
asparagus,168389
avocado,2710824
bacon,172439
banana,173944
barley,170284
basil,172232
bass,171948
bean,2707347
beef,2705822
beef rib,168614
beef shank,169441
beef tenderloin,2727573
beer,168749
beet,169145
bell pepper,2258590
biscuit,2707801
bitters,168393
blackberry,2727581
blue cheese,172175
blueberry,2346411
bok choy,2685572
bourbon,2710700
bran,2710839
brandy,2710699
bread,2707598
breadcrumbs,2290286
brie,172177
brine,2603108
brisket,170199
broccoli,170379
broccoli rabe,170381
brown rice,2512380
brownie,172713
brussel sprout,2685575
buffalo,175293
bulgur,2710820
burrito,2708534
butter,789828
buttermilk,2259792
butternut squash,2685570
cabbage,2346407
calvados,2710699
campari,2710623
candy,167974
cantaloupe,169092
capers,172238
caramel,167974
caraway,173413
cardamom,170919
carrot,2258586
cashew,2515374
cauliflower,2685573
caviar,174188
celery,2346405
chambord,2710623
champagne,2710687
chard,169991
chartreuse,2710623
cheddar,170899
cheese,2705704
cherry,2346399
chestnut,170164
chicken,2646170
chickpea,173756
chile,168570
chile pepper,168570
chive,169994
chocolate,170274
cilantro,169997
cinnamon,171849
clam,174214
clove,171321
coconut,170169
cod,2684444
coffee,2705599
cognac,2710699
collard greens,2709576
cookie,2707899
coriander,170922
corn,2710826
cornmeal,168922
cottage cheese,169078
couscous,169699
crab,174204
cranberry,171722
cranberry sauce,173961
cream cheese,173418
créme de cacao,2710623
cucumber,169225
cumin,170923
currant,173963
curry,170924
custard,168772
date,2709203
dill,172233
dried fruit,2709195
duck,172410
eau de vie,174818
egg,171287
eggplant,169228
endive,168412
escarole,168413
fennel,169385
feta,173420
fig,173021
fish,2706224
flat bread,1898944
fontina,170843
fortified wine,2710692
frangelico,2710623
garlic,169230
gin,173664
ginger,169231
goat cheese,172197
goose,172413
gouda,171241
grand marnier,2710623
granola,2708461
grape,2709237
grapefruit,2709165
grappa,2710699
green bean,2709769
ground beef,2705854
ground lamb,2705907
guava,2709238
halibut,2706260
ham,2705878
hazelnut,2707502
honey,2710281
honeydew,2709241
horseradish,2710083
hot pepper,2709798
ice cream,2705629
jalapeño,2710096
jam,2710301
jerusalem artichoke,169236
jícama,2709787
kahlúa,2710623
kale,2709599
kirsch,2710623
kiwi,2709239
kumquat,2709167
lamb,174370
lamb chop,2705906
lamb shank,172513
leafy green,2706753
leek,2709935
lemon,2709168
lemon juice,2709182
lemongrass,1922319
lentil,172420
lettuce,169249
lima bean,168396
lime,168155
lime juice,168156
lingonberry, 2025975
liqueur,2710623
lobster,174208
lychee,169086
macadamia nut,170178
mango,169910
maple syrup,169661
marsala,2706416
marscarpone,2289625
marshmallow,167995
martini,2710639
mayonnaise,2710204
melon,169093
mezcal,2710623
midori,2710623
milk,2705384
mint,173475
molasses,168820
monterey jack,2705720
mozzarella,2705722
muffin,2707829
mushroom,2709793
mussel,2706350
mustard,2710085
mustard greens,2709606
nectarine,2709245
noodle,169742
nutmeg,171326
oat,168872
oatmeal,2708380
octopus,2706331
okra,169260
olive,2710088
onion,2709795
orange,2709171
orange juice,2709186
oregano,171328
orzo,465734
oyster,2706351
paleo,2131853
pancake,2708294
papaya,2709246
paprika,171329
parmesan,170848
parsley,170416
parsnip,170417
passion fruit,169109
pasta,169736
pastry,2708053
pea,2709797
peach,2709249
peanut,2707512
peanut butter,2707537
pear,2709254
pecan,2707521
pepper,2709798
pernod,2710623
persimmon,2709259
pickles,2710097
pine nut,2707526
pineapple,2709260
pistachio,2707527
plantain,2709560
plum,2709265
poblano,2709800
pomegranate,2709267
pomegranate juice,2709330
poppy,171330
pork,2705862
pork chop,2705866
pork rib,2705894
pork tenderloin,2705877
port,2710692
potato,2709382
poultry sausage,2706179
prosciutto,2705879
prune,2709211
puff pastry dough,2663975
pumpkin,168448
punch,2710675
quail,172419
quiche,2708732
quince,168163
quinoa,168874
rabbit,2705912
rack of lamb,172641
radicchio,168564
radish,169276
raisin,2709212
raspberry,2709281
red wine,2710688
rhubarb,2709268
rice,2709078
ricotta,2705750
rosé,2710690
rum,2710703
rutabaga,2709804
rye,2512375
saffron,170934
sage,170935
sake,167723
salad,2709816
salad dressing,2710195
salmon,2706285
salsa,2709736
sardine,2706293
sausage,2706191
scallion,2709794
scallop,169289
scotch,2710701
seafood,2705784
seed,2707585
semolina,169715
sesame,2707586
sesame oil,2710190
shallot,170499
shellfish,2706336
sherry,2710692
shrimp,175179
smoothie,2705513
snapper,2706283
sorbet,2709314
sour cream,2705614
sourdough,2619201
soy,2707433
soy sauce,2707442
sparkling wine,2710687
spice,2670922
spinach,168462
spirit,171919
squash,2709693
squid,174223
steak,2705824
stock,172883
strawberry,167762
sugar snap pea,170010
sweet potato,2709697
swiss cheese,2705735
swordfish,2706301
tamarind,2709269
tangerine,2709175
tapioca,169717
tarragon,170937
tart,175069
tea,2710502
tequila,2710705
thyme,173470
tilapia,175176
tofu,174292
tomatillo,168566
tomato,2709719
tortillas,2707822
triple sec,2710623
tropical fruit,2579687
trout,175154
tuna,173706
turkey,2706104
turnip,2709809
vanilla,173471
veal,175290
venison,2705913
vermouth,175112
vinegar,172237
vodka,174818
waffle,2708312
walnut,170187
wasabi,171831
watercress,170068
watermelon,167765
whiskey,2710700
white wine,2710689
whole wheat,168944
wild rice,169726
wine,2710688
yellow squash,2709807
yogurt,2705414
yuca,2709565
zucchini,168565