ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
lobster,174208,"Crustaceans, lobster, northern, raw",33.04,0.96,0.9,42.33,0.0,18.39,0.0,0.0,0,0.0,6.46,1.44,0,5.8,0,1.67,1.08,9.94,6.12,0,0,0,28.98,12.88,0,9.05,32.09,0,149.89,2.43,0,0,0,4.26,12.78
lychee,169086,"Litchis, raw",1.66,0.56,0.5,0.0,6.01,0.04,4.64,0.0,0,79.44,0.38,1.72,0,0.47,0,0.92,5.0,3.77,5.88,0,0,0,0.0,2.48,0,2.38,0.64,0,16.44,2.39,0,0,0,3.64,1.29
macadamia nut,170178,"Nuts, macadamia nuts, raw",15.82,97.14,60.3,0.0,5.03,0.22,30.71,0.0,0,1.33,6.54,20.5,0,3.6,0,99.58,12.46,15.46,16.18,0,0,0,15.16,15.04,0,30.95,11.82,0,84.0,179.61,0,0,0,7.83,0.0
mango,169910,"Mangos, raw",1.64,0.49,0.46,0.0,5.45,0.04,5.71,0.0,0,40.44,0.85,0.89,0,6.0,0,2.33,2.92,4.18,7.0,0,0,0,3.94,1.12,0,2.38,0.82,0,12.33,2.74,0,0,0,3.57,1.38
maple syrup,169661,"Syrups, maple",0.08,0.08,0.03,0.0,24.38,0.52,0.0,0.0,0,0.0,7.85,0.61,0,0.0,0,5.5,97.69,0.51,0.12,0,0,0,0.72,0.16,0,5.0,13.36,0,2.0,126.43,0,0,0,4.51,0.29
marsala,2706416,Veal Marsala,35.6,10.95,17.95,18.33,2.45,6.39,1.79,0.0,0,1.56,1.08,5.83,0,3.87,0,8.25,20.54,33.31,23.59,0,0,0,0.0,11.36,0,5.71,10.55,0,14.22,0.0,0,0,0,4.49,15.98
marscarpone,2289625,MASCARPONE,7.14,54.95,151.8,41.67,1.3,2.35,0.0,0.0,0,0.0,11.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
marshmallow,167995,"Candies, marshmallows",3.6,0.26,0.28,0.0,29.56,3.48,0.36,0.0,0,0.0,0.23,1.28,0,0.0,0,0.08,0.08,0.49,0.18,0,0,0,0.1,0.64,0,0.48,0.36,0,10.78,0.35,0,0,0,0.11,0.02
martini,2710639,Martini,0.14,0.0,0.0,0.0,0.05,0.09,0.0,0.0,0,0.0,0.08,0.5,0,0.0,0,0.42,0.38,0.16,0.24,0,0,0,0.0,0.4,0,0.24,0.36,0,2.22,0.0,0,0,0,0.28,0.13
mayonnaise,2710204,"Mayonnaise, regular",1.92,95.9,58.5,14.0,0.21,27.61,0.0,0.0,0,0.0,0.62,1.17,0,21.87,0,0.83,1.46,0.0,0.47,0,0,0,0.0,1.68,0,0.24,1.36,0,2.11,0.0,0,0,0,0.43,6.22
melon,169093,"Melons, casaba, raw",2.22,0.13,0.12,0.0,2.39,0.39,3.21,0.0,0,24.22,0.85,1.89,0,0.33,0,1.25,2.38,1.45,9.59,0,0,0,1.68,0.4,0,2.62,0.64,0,6.67,1.52,0,0,0,3.87,1.38
mezcal,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
midori,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
milk,2705384,"Milk, NFS",6.66,2.74,6.25,3.0,1.76,1.7,0.0,0.0,0,0.11,9.62,0.0,0,0.2,0,4.75,10.54,0.69,3.59,0,0,0,0.0,8.24,0,2.86,3.91,0,0.11,0.0,0,0,0,3.32,3.25
mint,173475,"Spearmint, fresh",6.58,0.94,0.95,0.0,3.06,1.3,24.29,0.0,0,14.78,15.31,65.94,0,0.0,0,6.5,13.46,5.92,9.29,0,0,0,5.0,4.8,0,15.0,9.91,0,26.67,48.61,0,0,0,9.74,0.0
molasses,168820,Molasses,0.0,0.13,0.09,0.0,27.17,1.61,0.0,0.0,0,0.0,15.77,26.22,0,0.0,0,3.42,0.15,5.81,39.41,0,0,0,16.08,2.48,0,57.62,2.64,0,54.11,66.52,0,0,0,31.15,2.42
monterey jack,2705720,"Cheese, Monterey",45.2,41.79,96.0,33.33,0.69,28.78,0.0,0.0,0,0.0,55.0,0.0,0,1.73,0,1.25,30.0,0.58,4.65,0,0,0,0.0,37.68,0,7.14,34.36,0,0.0,0.0,0,0,0,1.77,2.8
mozzarella,2705722,"Cheese, Mozzarella, NFS",47.4,26.15,58.5,21.67,1.61,30.39,0.0,0.0,0,0.0,53.31,1.11,0,3.4,0,1.92,27.69,0.63,5.29,0,0,0,0.0,42.64,0,6.43,32.91,0,3.89,0.0,0,0,0,2.47,2.45
muffin,2707829,"Muffin, NFS",8.98,20.64,14.2,10.0,19.27,14.61,3.93,0.0,0,1.0,3.38,7.22,0,10.87,0,14.0,12.54,8.88,2.35,0,0,0,0.0,11.68,0,2.38,3.36,0,6.67,0.0,0,0,0,2.57,16.82
mushroom,2709793,"Mushrooms, raw",5.8,0.45,0.25,0.0,1.5,0.26,6.07,0.0,0,2.33,0.38,1.28,0,0.07,0,4.42,34.85,24.44,4.82,0,0,0,0.0,7.44,0,2.38,4.55,0,40.44,0.0,0,0,0,7.89,3.15
mussel,2706350,Mussels,30.2,3.64,2.69,11.67,1.7,15.74,0.0,0.0,0,9.0,2.54,27.78,0,4.67,0,14.33,19.46,12.0,3.35,0,0,0,0.0,19.92,0,10.24,18.36,0,13.22,0.0,0,0,0,8.62,14.96
mustard,2710085,Mustard,8.5,4.33,1.26,0.0,1.93,47.83,15.36,0.0,0,0.44,4.85,8.83,0,2.33,0,15.75,5.08,3.51,4.06,0,0,0,0.0,8.64,0,11.43,5.82,0,8.22,0.0,0,0,0,3.19,4.07
mustard greens,2709606,"Mustard greens, raw",5.72,0.54,0.05,0.0,1.7,0.87,11.43,0.0,0,77.78,8.85,9.11,0,13.4,0,6.67,8.46,5.0,10.59,0,0,0,0.0,4.64,0,7.62,2.27,0,18.33,0.0,0,0,0,8.17,0.09
nectarine,2709245,"Nectarine, raw",2.12,0.36,0.0,0.0,3.34,0.57,5.36,0.0,0,3.22,0.15,1.67,0,4.07,0,2.83,2.08,7.0,1.47,0,0,0,0.0,2.08,0,2.14,1.91,0,9.11,0.0,0,0,0,2.79,1.13
noodle,169742,"Rice noodles, dry",11.9,0.72,0.77,0.0,29.16,7.91,5.71,0.0,0,0.0,1.38,3.89,0,0.73,0,2.58,1.31,1.38,0.88,0,0,0,1.02,12.24,0,2.86,6.73,0,8.67,21.65,0,0,0,0.64,1.0
nutmeg,171326,"Spices, nutmeg, ground",11.68,46.55,129.7,0.0,17.92,0.7,74.29,0.0,0,3.33,14.15,16.89,0,0.0,0,28.83,4.38,8.12,9.41,0,0,0,0.0,17.04,0,43.57,19.55,0,114.11,126.09,0,0,0,7.45,1.6
oat,168872,"Oat bran, raw",34.6,9.01,6.64,0.0,24.08,0.17,55.0,0.0,0,0.0,4.46,30.06,0,6.73,0,97.5,16.92,5.84,9.71,0,0,0,29.88,58.72,0,55.95,28.27,0,44.78,244.78,0,0,0,12.04,5.85
oatmeal,2708380,"Oatmeal, NFS",4.36,3.37,4.26,1.0,4.07,3.52,6.07,0.0,0,0.0,0.92,3.72,0,1.47,0,5.08,1.77,1.04,2.24,0,0,0,0.0,5.2,0,5.71,5.55,0,7.89,0.0,0,0,0,1.21,1.27
octopus,2706331,Octopus,26.4,16.67,9.2,14.33,4.87,22.52,1.79,0.0,0,3.33,4.23,27.33,0,21.07,0,13.75,7.85,15.88,15.24,0,0,0,0.0,13.12,0,6.67,13.0,0,39.78,0.0,0,0,0,6.17,10.24
okra,169260,"Okra, raw",3.86,0.24,0.13,0.0,2.71,0.3,11.43,0.0,0,25.56,6.31,3.44,0,1.8,0,16.67,4.62,6.25,12.65,0,0,0,4.9,4.88,0,13.57,5.27,0,12.11,34.26,0,0,0,6.36,2.24
olive,2710088,"Olives, NFS",1.68,13.97,11.4,0.0,2.2,31.96,5.71,0.0,0,1.0,6.77,34.89,0,11.0,0,0.25,0.0,0.23,0.53,0,0,0,0.0,0.24,0,0.95,2.0,0,27.89,0.0,0,0,0,0.17,1.87
onion,2709795,"Onions, raw",1.72,0.1,0.21,0.0,3.08,0.04,6.07,0.0,0,9.11,1.31,1.33,0,0.13,0,3.83,2.08,0.73,7.06,0,0,0,0.0,2.64,0,2.14,1.55,0,4.56,0.0,0,0,0,3.64,1.11
orange,2709171,"Orange, raw",1.84,0.18,0.07,0.0,4.29,0.17,7.86,0.0,0,62.44,3.23,1.22,0,1.2,0,6.5,3.54,2.21,4.12,0,0,0,0.0,1.44,0,2.38,0.82,0,6.0,0.0,0,0,0,3.7,1.53
orange juice,2709186,"Orange juice, 100%, NFS",1.54,0.44,0.07,0.0,3.71,0.09,1.07,0.0,0,31.89,4.31,0.33,0,1.33,0,6.08,3.0,0.21,2.47,0,0,0,0.0,1.44,0,2.38,0.27,0,3.78,0.0,0,0,0,3.85,1.13
oregano,171328,"Spices, oregano, dried",18.0,5.49,7.75,0.0,25.06,1.09,151.79,0.0,0,2.56,122.85,204.44,0,121.73,0,14.75,40.62,29.0,61.41,0,0,0,18.42,11.84,0,64.29,24.45,0,70.33,216.96,0,0,0,26.81,5.87
orzo,465734,ORZO,25.0,2.29,0.0,0.0,28.57,0.0,12.86,0.0,0,0.0,0.0,17.83,0,0.0,0,83.33,23.38,33.48,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
oyster,2706351,"Oysters, raw",11.42,2.19,2.37,13.33,0.99,3.7,0.0,0.0,0,0.0,4.54,25.61,0,5.67,0,1.5,6.92,5.78,1.82,0,0,0,0.0,7.76,0,4.29,357.27,0,317.78,0.0,0,0,0,3.32,11.82
paleo,2131853,"PALEO BAKING FLOUR, PALEO",34.78,22.29,10.85,0.0,20.55,0.0,46.43,0.0,0,0.0,6.69,17.39,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
pancake,2708294,"Pancakes, NFS",14.82,15.51,15.05,22.0,12.84,22.09,7.5,0.0,0,0.0,15.85,8.06,0,12.07,0,19.08,19.92,8.69,7.94,0,0,0,0.0,26.08,0,4.76,6.64,0,5.11,0.0,0,0,0,3.7,9.11
papaya,2709246,"Papaya, raw",0.94,0.33,0.4,0.0,3.93,0.35,6.07,0.0,0,67.67,1.54,1.39,0,2.0,0,1.92,2.08,2.23,2.24,0,0,0,0.0,0.8,0,5.0,0.73,0,5.0,0.0,0,0,0,3.87,1.11
paprika,171329,"Spices, paprika",28.28,16.53,10.7,0.0,19.63,2.96,124.64,0.0,0,1.0,17.62,117.44,0,194.0,0,27.5,94.62,62.88,125.94,0,0,0,50.2,25.12,0,42.38,39.36,0,79.22,69.13,0,0,0,48.51,9.36
parmesan,170848,"Cheese, parmesan, hard",71.5,32.05,74.25,22.67,1.17,51.09,0.0,0.0,0,0.0,91.08,4.56,0,1.47,0,3.25,25.54,1.69,5.35,0,0,0,9.06,55.52,0,10.48,25.0,0,3.56,0.87,0,0,0,1.96,2.8
parsley,170416,"Parsley, fresh",5.94,1.01,0.66,0.0,2.3,2.43,11.79,0.0,0,147.78,10.62,34.44,0,5.0,0,7.17,7.54,8.21,5.29,0,0,0,8.0,4.64,0,11.9,9.73,0,16.56,6.96,0,0,0,11.79,2.33
parsnip,170417,"Parsnips, raw",2.4,0.38,0.25,0.0,6.54,0.43,17.5,0.0,0,18.89,2.77,3.28,0,9.93,0,7.5,3.85,4.38,5.29,0,0,0,12.0,5.68,0,6.9,5.36,0,13.33,24.35,0,0,0,7.98,0.0
passion fruit,169109,"Passion-fruit juice, purple, raw",0.78,0.06,0.02,0.0,4.95,0.26,0.71,0.0,0,33.11,0.31,1.33,0,0.07,0,0.0,10.08,9.12,2.94,0,0,0,0.0,1.04,0,4.05,0.45,0,5.89,0.0,0,0,0,5.91,0.73
pasta,169736,"Pasta, dry, enriched",26.08,1.94,1.39,0.0,27.15,0.26,11.43,0.0,0,0.0,1.62,18.33,0,0.73,0,74.25,30.77,44.86,8.35,0,0,0,8.62,15.12,0,12.62,12.82,0,32.11,39.87,0,0,0,4.74,2.75
pastry,2708053,"Pastry, puff",14.8,49.36,27.5,0.0,16.62,11.0,5.36,0.0,0,0.0,0.77,14.44,0,3.67,0,26.92,19.85,23.75,1.12,0,0,0,0.0,4.8,0,3.81,4.91,0,12.78,0.0,0,0,0,1.32,1.13
pea,2709797,"Green peas, raw",10.84,0.51,0.35,0.0,5.24,0.22,20.36,0.0,0,44.44,1.92,8.17,0,0.87,0,22.17,10.15,13.06,9.94,0,0,0,0.0,8.64,0,7.86,11.27,0,19.56,0.0,0,0,0,5.19,5.16
peach,2709249,"Peach, raw",1.82,0.35,0.1,0.0,3.67,0.57,5.36,0.0,0,4.56,0.31,1.89,0,4.87,0,2.0,2.38,5.04,1.47,0,0,0,0.0,1.76,0,1.9,2.09,0,8.67,0.0,0,0,0,2.6,1.11
peanut,2707512,"Peanuts, NFS",48.8,63.72,38.6,0.0,7.75,17.83,30.0,0.0,0,0.0,4.46,8.78,0,32.87,0,12.67,15.15,90.0,27.41,0,0,0,0.0,29.04,0,42.38,25.18,0,47.56,0.0,0,0,0,13.49,11.75
peanut butter,2707537,Peanut butter,44.4,65.9,51.5,0.0,8.11,18.52,17.86,0.0,0,0.0,3.77,9.67,0,60.67,0,12.5,14.77,81.88,25.94,0,0,0,0.0,26.8,0,40.0,22.82,0,46.89,0.0,0,0,0,11.87,11.45
pear,2709254,"Pear, raw",0.74,0.19,0.11,0.0,5.53,0.13,11.07,0.0,0,4.78,0.69,1.0,0,0.8,0,1.0,2.0,1.01,1.65,0,0,0,0.0,0.88,0,1.67,0.82,0,8.56,0.0,0,0,0,2.21,0.93
pecan,2707521,"Pecans, NFS",19.92,93.97,32.3,0.0,4.62,0.0,20.71,0.0,0,1.22,4.23,13.17,0,9.33,0,45.67,10.0,5.91,10.06,0,0,0,0.0,20.24,0,24.52,35.73,0,100.67,0.0,0,0,0,7.66,7.36
pepper,2709798,"Peppers, hot, raw",2.78,0.51,0.34,0.0,2.79,0.26,7.86,0.0,0,145.56,1.0,3.56,0,14.2,0,4.67,6.0,7.88,27.24,0,0,0,0.0,2.72,0,4.52,1.82,0,9.78,0.0,0,0,0,6.06,1.67
pernod,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
persimmon,2709259,"Persimmon, raw",1.16,0.24,0.1,0.0,6.76,0.04,12.86,0.0,0,8.33,0.62,0.83,0,4.87,0,2.5,1.54,0.62,5.88,0,0,0,0.0,1.36,0,2.14,1.0,0,12.56,0.0,0,0,0,3.43,1.38
pickles,2710097,"Pickles, NFS",0.96,0.55,0.4,0.0,0.72,35.13,3.57,0.0,0,2.33,4.15,1.28,0,0.8,0,3.92,4.38,0.68,2.0,0,0,0,0.0,1.28,0,1.67,1.0,0,2.89,0.0,0,0,0,2.38,0.62
pine nut,2707526,Pine nuts,27.4,87.69,24.5,0.0,4.76,0.09,13.21,0.0,0,0.89,1.23,30.72,0,62.2,0,30.33,17.46,27.44,5.53,0,0,0,0.0,46.0,0,59.76,58.64,0,146.67,0.0,0,0,0,12.7,10.15
pineapple,2709260,"Pineapple, raw",0.92,0.27,0.04,0.0,5.13,0.0,3.21,0.0,0,65.11,0.92,0.28,0,0.13,0,5.33,2.46,1.43,6.47,0,0,0,0.0,0.4,0,3.1,1.0,0,10.56,0.0,0,0,0,2.91,1.0
pistachio,2707527,"Pistachio nuts, NFS",42.0,58.72,28.2,0.0,10.29,0.26,36.79,0.0,0,3.33,8.23,22.39,0,14.47,0,57.92,18.0,8.56,65.88,0,0,0,0.0,37.52,0,25.95,21.27,0,143.33,0.0,0,0,0,21.49,12.98
plantain,2709560,"Plantain, raw",2.6,0.45,0.0,0.0,11.6,0.17,6.07,0.0,0,20.44,0.23,3.06,0,0.0,0,5.17,5.85,4.2,14.24,0,0,0,0.0,2.56,0,8.57,1.73,0,8.22,0.0,0,0,0,10.36,2.45
plum,2709265,"Plum, raw",1.4,0.36,0.09,0.0,4.15,0.0,5.0,0.0,0,10.56,0.46,0.94,0,1.73,0,2.33,2.0,2.61,1.71,0,0,0,0.0,1.28,0,1.67,0.91,0,6.33,0.0,0,0,0,3.34,0.35
poblano,2709800,"Peppers, sweet, green, raw",1.44,0.14,0.29,0.0,1.74,0.0,3.21,0.0,0,110.56,0.54,1.06,0,2.47,0,3.25,6.85,3.98,14.53,0,0,0,0.0,1.36,0,2.14,1.18,0,6.44,0.0,0,0,0,3.47,1.0
pomegranate,2709267,"Pomegranate, raw",3.34,1.5,0.6,0.0,6.8,0.13,14.29,0.0,0,11.33,0.77,1.67,0,4.0,0,5.58,4.08,1.83,4.41,0,0,0,0.0,2.88,0,2.86,3.18,0,17.56,0.0,0,0,0,5.02,1.38
pomegranate juice,2709330,"Pomegranate juice, 100%",0.3,0.37,0.39,0.0,4.76,0.39,0.36,0.0,0,0.11,0.85,0.56,0,2.53,0,1.25,1.15,1.46,2.35,0,0,0,0.0,0.88,0,1.67,0.82,0,2.33,0.0,0,0,0,4.55,0.87
poppy,171330,"Spices, poppy seed",35.98,53.28,22.59,0.0,10.23,1.13,69.64,0.0,0,1.11,110.62,54.22,0,11.8,0,71.17,7.69,5.6,14.53,0,0,0,6.48,69.6,0,82.62,71.82,0,180.78,291.61,0,0,0,15.3,1.6
pork,2705862,"Pork, NFS",54.2,11.12,15.15,25.67,0.0,15.13,0.0,0.0,0,0.0,0.77,4.39,0,1.13,0,50.42,18.0,47.19,36.18,0,0,0,0.0,19.6,0,6.19,22.18,0,9.78,0.0,0,0,0,8.55,14.75
pork chop,2705866,"Pork, chop, NS as to fat eaten",55.0,9.68,13.0,23.67,0.0,15.39,0.0,0.0,0,0.0,0.54,3.39,0,1.33,0,53.67,15.69,52.75,37.06,0,0,0,0.0,20.48,0,6.43,18.09,0,8.44,0.0,0,0,0,9.13,13.98
pork rib,2705894,"Pork, ribs",32.4,19.36,27.15,19.33,4.4,29.48,1.07,0.0,0,0.22,3.23,4.61,0,2.73,0,27.17,19.0,34.25,18.18,0,0,0,0.0,9.68,0,3.81,19.82,0,10.67,0.0,0,0,0,5.02,10.31
pork tenderloin,2705877,"Pork, tenderloin",49.2,4.33,5.8,22.67,0.03,14.74,0.0,0.0,0,0.0,0.46,6.06,0,0.53,0,74.67,29.0,46.12,40.94,0,0,0,0.0,22.4,0,6.67,20.73,0,12.11,0.0,0,0,0,9.83,15.24
port,2710692,"Wine, dessert, sweet",0.4,0.0,0.0,0.0,4.98,0.39,0.0,0.0,0,0.0,0.62,1.33,0,0.0,0,1.5,1.38,1.33,0.0,0,0,0,0.0,0.72,0,2.14,0.64,0,5.0,0.0,0,0,0,1.96,0.91
potato,2709382,"Potato, NFS",3.74,5.45,5.55,1.0,7.42,7.22,5.0,0.0,0,13.44,0.38,1.89,0,4.4,0,8.33,1.54,8.25,18.35,0,0,0,0.0,3.84,0,5.71,2.55,0,22.67,0.0,0,0,0,7.91,2.56
poultry sausage,2706179,Chorizo,38.6,36.03,47.25,35.67,0.96,42.74,0.0,0.0,0,0.0,2.85,13.0,0,10.0,0,30.42,32.31,44.12,32.59,0,0,0,0.0,16.56,0,7.14,19.91,0,14.44,0.0,0,0,0,9.26,17.65
prosciutto,2705879,"Ham, prosciutto",55.6,10.67,13.9,23.33,0.11,117.39,0.0,0.0,0,0.0,0.77,6.17,0,1.87,0,47.25,18.62,24.25,24.71,0,0,0,0.0,25.44,0,5.95,25.55,0,12.0,0.0,0,0,0,10.85,19.27
prune,2709211,"Prune, dried",4.36,0.49,0.44,0.0,23.24,0.09,25.36,0.0,0,0.67,3.31,5.17,0,2.87,0,4.25,14.31,11.75,12.06,0,0,0,0.0,5.52,0,9.76,4.0,0,31.22,0.0,0,0,0,15.57,1.84
puff pastry dough,2663975,PUFF PASTRY DOUGH,0.0,36.63,59.5,0.0,12.12,16.57,17.14,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
pumpkin,168448,"Pumpkin, raw",2.0,0.13,0.26,0.0,2.36,0.04,1.79,0.0,0,10.0,1.62,4.44,0,7.07,0,4.17,8.46,3.75,3.59,0,0,0,5.96,3.52,0,2.86,2.91,0,14.11,5.43,0,0,0,7.23,1.49
punch,2710675,Champagne punch,0.32,0.08,0.02,0.0,4.18,0.17,0.36,0.0,0,4.44,0.62,1.39,0,0.07,0,2.0,1.38,0.84,3.24,0,0,0,0.0,0.88,0,1.9,0.91,0,3.56,0.0,0,0,0,1.77,0.55
quail,172419,"Quail, meat only, raw",43.52,5.81,6.6,23.33,0.0,2.22,0.0,0.0,0,8.0,1.0,25.06,0,0.0,0,23.58,21.92,51.25,31.18,0,0,0,15.74,24.56,0,5.95,24.55,0,66.0,0.83,0,0,0,5.04,0.0
quiche,2708732,"Spinach quiche, meatless",20.6,30.13,59.5,42.33,4.25,13.78,3.57,0.0,0,4.78,17.77,6.0,0,8.13,0,7.17,20.38,4.41,5.47,0,0,0,0.0,15.52,0,9.29,12.64,0,5.44,0.0,0,0,0,4.6,11.62
quince,168163,"Quinces, raw",0.8,0.13,0.05,0.0,5.56,0.17,6.79,0.0,0,16.67,0.85,3.89,0,0.0,0,1.67,2.31,1.25,2.35,0,0,0,1.62,1.36,0,1.9,0.36,0,14.44,0.0,0,0,0,4.19,0.0
quinoa,168874,"Quinoa, uncooked",28.24,7.78,3.53,0.0,23.33,0.22,25.0,0.0,0,0.0,3.62,25.39,0,16.27,0,30.0,24.46,9.5,28.65,0,0,0,15.44,36.56,0,46.9,28.18,0,65.56,88.39,0,0,0,11.98,12.76
rabbit,2705912,Rabbit,60.2,10.69,12.45,28.33,0.0,14.96,0.0,0.0,0,0.0,1.54,13.06,0,2.93,0,5.0,13.0,44.38,19.82,0,0,0,0.0,17.92,0,4.76,21.36,0,19.44,0.0,0,0,0,6.34,21.82
rack of lamb,172641,"Lamb, New Zealand, imported, rack - fully frenched, separable lean and fat, raw",39.76,12.77,21.52,20.67,0.02,2.7,0.0,0.0,0,0.0,0.62,7.56,0,2.33,0,5.17,13.23,31.4,13.94,0,0,0,11.68,14.88,0,5.24,19.73,0,11.22,0.35,0,0,0,6.89,0.0
radicchio,168564,"Radicchio, raw",2.86,0.32,0.3,0.0,1.63,0.96,3.21,0.0,0,8.89,1.46,3.17,0,15.07,0,1.33,2.15,1.59,3.35,0,0,0,5.38,3.2,0,3.1,5.64,0,37.89,6.0,0,0,0,6.43,1.98
radish,169276,"Radishes, raw",1.36,0.13,0.16,0.0,1.24,1.7,5.71,0.0,0,16.44,1.92,1.89,0,0.0,0,1.0,3.0,1.59,4.18,0,0,0,3.3,1.6,0,2.38,2.55,0,5.56,3.0,0,0,0,4.96,1.18
raisin,2709212,Raisins,6.6,0.32,0.47,0.0,28.84,1.13,16.07,0.0,0,2.56,4.77,9.94,0,0.8,0,8.83,9.62,4.79,10.24,0,0,0,0.0,7.84,0,8.57,3.27,0,30.22,0.0,0,0,0,15.83,2.02
